,Age..ybp,Age..calender.,BSi.MAR..mgSiO2.cm2y.
1,(Years before 2002),NA,NA
1516,13600,-11598,2.59
1517,13644,-11642,2.73
1518,13689,-11687,1.78
1519,13733,-11731,2.13
1520,13778,-11776,1.88
1521,13822,-11820,3.41
1522,13867,-11865,1.78
1523,13911,-11909,1.66
1524,13955,-11953,2.54
1525,14000,-11998,2.5
1526,14044,-12042,2.66
1527,14089,-12087,4.08
1528,14133,-12131,3.32
1529,14178,-12176,3.43
1530,14222,-12220,2.8
1531,14267,-12265,2.55
1532,14311,-12309,3.22
1533,14356,-12354,3.42
1534,14400,-12398,3.32
1535,14444,-12442,2.56
1536,14489,-12487,2.43
1537,14533,-12531,2.66
1538,14578,-12576,2.75
1539,14622,-12620,2.96
1540,14667,-12665,2.76
1541,14711,-12709,3.29
1542,14756,-12754,3.27
1543,14800,-12798,3.08
1544,14844,-12842,2.98
1545,14889,-12887,2.55
1546,14933,-12931,3.38
1547,14978,-12976,3.37
1548,15022,-13020,4.79
1549,15067,-13065,4.41
1550,15111,-13109,5.84
1551,15156,-13154,3.61
1552,15200,-13198,1.31
1553,15255,-13253,2.51
1554,15310,-13308,3.36
1555,15365,-13363,3.96
1556,15419,-13417,3.6
1557,15474,-13472,3.69
1558,15529,-13527,3.6
1559,15584,-13582,3.31
1560,15639,-13637,3.18
1561,15694,-13692,3.32
1562,15749,-13747,3.12
1563,15804,-13802,2.45
1564,15858,-13856,2.45
1565,15913,-13911,2.56
1566,15968,-13966,2.94
1567,16023,-14021,3.09
1568,16078,-14076,1.96
1569,16133,-14131,2.74
1570,16188,-14186,2.85
1571,16243,-14241,3.38
1572,16297,-14295,2.5
1573,16352,-14350,2.34
1574,16407,-14405,1.96
1575,16462,-14460,2.13
1576,16517,-14515,2.51
1577,16572,-14570,2.59
1578,16627,-14625,2.63
1579,16681,-14679,2.68
1580,16736,-14734,2.06
1581,16791,-14789,2.02
1582,16846,-14844,2.19
1583,16901,-14899,2.19
1584,16956,-14954,2.14
1585,17011,-15009,1.97
1586,17066,-15064,2.1
1587,17120,-15118,2.25
1588,17175,-15173,2.43
1589,17230,-15228,1.41
1590,17285,-15283,1.25
1591,17316,-15314,2.46
1592,17347,-15345,2.83
1593,17378,-15376,3.35
1594,17408,-15406,2.81
1595,17439,-15437,3.31
1596,17470,-15468,2.97
1597,17501,-15499,3.62
1598,17532,-15530,3.43
1599,17563,-15561,3.28
1600,17593,-15591,3.67
1601,17624,-15622,3.31
1602,17655,-15653,3.18
1603,17686,-15684,3.18
1604,17717,-15715,3.59
1605,17748,-15746,4.07
1606,17779,-15777,4.38
1607,17809,-15807,4.28
1608,17840,-15838,4.18
1609,17871,-15869,4.01
1610,17902,-15900,3.72
1611,17933,-15931,3.59
1612,17964,-15962,3.68
1613,17994,-15992,4.04
1614,18025,-16023,4.04
1615,18056,-16054,4.35
1616,18087,-16085,4.02
1617,18118,-16116,4.31
1618,18149,-16147,3.89
1619,18180,-16178,3.42
1620,18210,-16208,3.72
1621,18241,-16239,4.14
1622,18272,-16270,3.77
1623,18303,-16301,3.95
1624,18334,-16332,3.85
1625,18365,-16363,3.81
1626,18396,-16394,3.76
1627,18426,-16424,3.93
1628,18457,-16455,3.83
1629,18488,-16486,4.05
1630,18519,-16517,4
1631,18550,-16548,4.66
1632,18581,-16579,4.92
1633,18611,-16609,4.52
1634,18642,-16640,4.83
1635,18673,-16671,4.87
1636,18704,-16702,5.6
1637,18735,-16733,5.03
1638,18766,-16764,4.66
1639,18797,-16795,4.92
1640,18827,-16825,4.49
1641,18858,-16856,4.58
1642,18889,-16887,4.34
1643,18920,-16918,3.91
1644,18951,-16949,3.65
1645,18982,-16980,3.86
1646,19012,-17010,3.19
1647,19043,-17041,3.25
1648,19074,-17072,3.14
1649,19105,-17103,3
1650,19149,-17147,2.01
1651,19192,-17190,2.63
1652,19236,-17234,2.32
1653,19279,-17277,2.31
1654,19323,-17321,2.34
1655,19366,-17364,2.57
1656,19410,-17408,2.74
1657,19453,-17451,2.78
1658,19497,-17495,2.73
1659,19540,-17538,2.67
1660,19584,-17582,2.87
1661,19628,-17626,2.65
1662,19671,-17669,2.76
1663,19715,-17713,2.78
1664,19758,-17756,2.78
1665,19802,-17800,2.79
1666,19845,-17843,2.79
1667,19889,-17887,2.87
1668,19932,-17930,2.79
1669,19976,-17974,3
1670,20019,-18017,2.97
1671,20063,-18061,3.06
1672,20106,-18104,2.79
1673,20150,-18148,3.19
1674,20194,-18192,3.18
1675,20237,-18235,3.03
1676,20281,-18279,3.21
1677,20324,-18322,3.31
1678,20368,-18366,2.69
1679,20411,-18409,2.67
1680,20455,-18453,3.1
1681,20498,-18496,2.69
1682,20542,-18540,2.59
1683,20585,-18583,2.32
1684,20629,-18627,2.74
1685,20673,-18671,3.19
1686,20716,-18714,3.1
1687,20760,-18758,3.7
1688,20803,-18801,4.07
1689,20847,-18845,3.33
1690,20890,-18888,3.55
1691,20934,-18932,3.28
1692,20977,-18975,3.02
1693,21021,-19019,3.57
1694,21064,-19062,3.69
1695,21108,-19106,4.2
1696,21151,-19149,4.2
1697,21195,-19193,4.66
1698,21238,-19236,4.65
1699,21280,-19278,NA
1700,21323,-19321,NA
1701,21366,-19364,NA
1702,21408,-19406,NA
1703,21451,-19449,NA
1704,21504,-19502,2.88
1705,21558,-19556,NA
1706,21611,-19609,NA
1707,21664,-19662,NA
1708,21717,-19715,NA
1709,21771,-19769,NA
1710,21824,-19822,NA
1711,21877,-19875,NA
1712,21930,-19928,NA
1713,21984,-19982,NA
1714,22037,-20035,NA
1715,22090,-20088,2.64
1716,,NA,NA
1717,,NA,NA
1718,,NA,NA
1719,,NA,NA
1720,,NA,NA
1721,,NA,NA
1722,,NA,NA
1723,,NA,NA
1724,,NA,NA
1725,,NA,NA
1726,,NA,NA
1727,,NA,NA
1728,,NA,NA
1729,,NA,NA
1730,,NA,NA
1731,,NA,NA
1732,,NA,NA
1733,,NA,NA
1734,,NA,NA
1735,,NA,NA
1736,,NA,NA
1737,,NA,NA
1738,,NA,NA
1739,,NA,NA
1740,,NA,NA
1741,,NA,NA
1742,,NA,NA
1743,,NA,NA
1744,,NA,NA
1745,,NA,NA
