"","Year","thickness_type","n"
"174",-964,"light layer",0.24
"175",-963,"dark layer",0.1
"176",-963,"light layer",1.9
"177",-962,"dark layer",0.04
"178",-962,"light layer",2.76
"179",-961,"dark layer",0.06
"180",-961,"light layer",0.84
"181",-960,"dark layer",0.2
"182",-960,"light layer",1.4
"183",-959,"dark layer",0.1
"184",-959,"light layer",0.5
"185",-958,"dark layer",0.1
"186",-958,"light layer",0.3
"187",-957,"dark layer",0.1
"188",-957,"light layer",1.1
"189",-956,"dark layer",0.1
"190",-956,"light layer",2.7
"191",-955,"dark layer",0.1
"192",-955,"light layer",0.8
"193",-954,"dark layer",0.1
"194",-954,"light layer",0.9
"195",-953,"dark layer",0.1
"196",-953,"light layer",0.3
"197",-952,"dark layer",0.1
"198",-952,"light layer",0.7
"199",-951,"dark layer",0.1
"200",-951,"light layer",0.5
"201",-950,"dark layer",0.04
"202",-950,"light layer",0.86
"203",-949,"dark layer",0.1
"204",-949,"light layer",0.4
"205",-948,"dark layer",0.04
"206",-948,"light layer",1.56
"207",-947,"dark layer",0.14
"208",-947,"light layer",0.46
"209",-946,"dark layer",0.2
"210",-946,"light layer",1.2
"211",-945,"dark layer",0.2
"212",-945,"light layer",0.4
"213",-944,"dark layer",0.1
"214",-944,"light layer",0.7
"215",-943,"dark layer",0.12
"216",-943,"light layer",0.98
"217",-942,"dark layer",0.1
"218",-942,"light layer",0.9
"219",-941,"dark layer",0.1
"220",-941,"light layer",0.5
"221",-940,"dark layer",0.14
"222",-940,"light layer",1.26
"223",-939,"dark layer",0.1
"224",-939,"light layer",0.5
"225",-938,"dark layer",0.1
"226",-938,"light layer",0.9
"227",-937,"dark layer",0.1
"228",-937,"light layer",0.3
"229",-936,"dark layer",0.1
"230",-936,"light layer",0.5
"231",-935,"dark layer",0.04
"232",-935,"light layer",0.76
"233",-934,"dark layer",0.2
"234",-934,"light layer",0.3
"235",-933,"dark layer",0.1
"236",-933,"light layer",0.5
"237",-932,"dark layer",0.04
"238",-932,"light layer",0.56
"239",-931,"dark layer",0.04
"240",-931,"light layer",0.46
"241",-930,"dark layer",0.06
"242",-930,"light layer",0.14
"243",-929,"dark layer",0.1
"244",-929,"light layer",0.1
"245",-928,"dark layer",0.1
"246",-928,"light layer",0.2
"247",-927,"dark layer",0.06
"248",-927,"light layer",1.34
"249",-926,"dark layer",0.2
"250",-926,"light layer",0.8
"251",-925,"dark layer",0.2
"252",-925,"light layer",0.4
"253",-924,"dark layer",0.08
"254",-924,"light layer",0.42
"255",-923,"dark layer",0.1
"256",-923,"light layer",1
"257",-922,"dark layer",0.04
"258",-922,"light layer",0.86
"259",-921,"dark layer",0.4
