"","Year","thickness_type","n"
"896",-603,"light layer",0.3
"897",-602,"dark layer",0.1
"898",-602,"light layer",0.2
"899",-601,"dark layer",0.2
"900",-601,"light layer",0.8
"901",-600,"dark layer",0.1
"902",-600,"light layer",0.4
"903",-599,"dark layer",0.1
"904",-599,"light layer",0.6
"905",-598,"dark layer",0.04
"906",-598,"light layer",0.86
"907",-597,"dark layer",0.02
"908",-597,"light layer",0.58
"909",-596,"dark layer",0.2
"910",-596,"light layer",3
"911",-595,"dark layer",0.2
"912",-595,"light layer",0.3
"913",-594,"dark layer",0.2
"914",-594,"light layer",0.4
"915",-593,"dark layer",0.1
"916",-593,"light layer",0.3
"917",-592,"dark layer",0.04
"918",-592,"light layer",0.16
"919",-591,"dark layer",0.02
"920",-591,"light layer",1.38
"921",-590,"dark layer",0.02
"922",-590,"light layer",0.08
"923",-589,"dark layer",0.04
"924",-589,"light layer",0.26
"925",-588,"dark layer",0.1
"926",-588,"light layer",5.3
"927",-587,"dark layer",0.04
"928",-587,"light layer",0.26
"929",-586,"dark layer",0.2
"930",-586,"light layer",0.2
"931",-585,"dark layer",0.2
"932",-585,"light layer",0.1
"933",-584,"dark layer",0.1
"934",-584,"light layer",0.3
"935",-583,"dark layer",0.1
"936",-583,"light layer",2.7
"937",-582,"dark layer",0.04
"938",-582,"light layer",0.86
"939",-581,"dark layer",0.1
"940",-581,"light layer",0.4
"941",-580,"dark layer",0.2
"942",-580,"light layer",1.1
"943",-579,"dark layer",0.2
"944",-579,"light layer",0.7
"945",-578,"dark layer",0.1
"946",-578,"light layer",0.4
"947",-577,"dark layer",0.2
"948",-577,"light layer",0.6
"949",-576,"dark layer",0.2
"950",-576,"light layer",1.1
"951",-575,"dark layer",0.1
"952",-575,"light layer",1.1
"953",-574,"dark layer",0.1
"954",-574,"light layer",0.6
"955",-573,"dark layer",0.2
"956",-573,"light layer",1
"957",-572,"dark layer",0.1
"958",-572,"light layer",0.2
"959",-571,"dark layer",0.2
"960",-571,"light layer",1.8
"961",-570,"dark layer",0.1
"962",-570,"light layer",0.1
"963",-569,"dark layer",0.2
"964",-569,"light layer",0.4
"965",-568,"dark layer",0.1
"966",-568,"light layer",0.4
"967",-567,"dark layer",0.1
"968",-567,"light layer",0.5
"969",-566,"dark layer",0.1
"970",-566,"light layer",0.9
"971",-565,"dark layer",0.1
"972",-565,"light layer",0.7
"973",-564,"dark layer",0.1
"974",-564,"light layer",0.5
"975",-563,"dark layer",0.1
"976",-563,"light layer",1
"977",-562,"dark layer",0.06
"978",-562,"light layer",0.34
"979",-561,"dark layer",0.2
"980",-561,"light layer",0.3
"981",-560,"dark layer",0.2
"982",-560,"light layer",3.2
"983",-559,"dark layer",0.03
"984",-559,"light layer",0.17
"985",-558,"dark layer",0.04
"986",-558,"light layer",1.16
"987",-557,"dark layer",0.04
"988",-557,"light layer",0.36
"989",-556,"dark layer",0.04
"990",-556,"light layer",0.46
"991",-555,"dark layer",0.04
"992",-555,"light layer",0.46
"993",-554,"dark layer",0.1
"994",-554,"light layer",0.14
"995",-553,"dark layer",0.04
"996",-553,"light layer",1.26
"997",-552,"dark layer",NA
"998",-552,"light layer",NA
"999",-551,"dark layer",NA
"1000",-551,"light layer",NA
"1001",-550,"dark layer",NA
"1002",-550,"light layer",NA
"1003",-549,"dark layer",NA
"1004",-549,"light layer",NA
"1005",-548,"dark layer",NA
"1006",-548,"light layer",NA
"1007",-547,"dark layer",NA
"1008",-547,"light layer",NA
"1009",-546,"dark layer",NA
"1010",-546,"light layer",NA
"1011",-545,"dark layer",NA
"1012",-545,"light layer",NA
"1013",-544,"dark layer",NA
"1014",-544,"light layer",NA
"1015",-543,"dark layer",NA
"1016",-543,"light layer",NA
"1017",-542,"dark layer",NA
"1018",-542,"light layer",NA
"1019",-541,"dark layer",NA
"1020",-541,"light layer",NA
"1021",-540,"dark layer",0.2
"1022",-540,"light layer",1.6
"1023",-539,"dark layer",0.1
"1024",-539,"light layer",1.9
"1025",-538,"dark layer",0.04
"1026",-538,"light layer",0.76
"1027",-537,"dark layer",0.04
"1028",-537,"light layer",0.56
"1029",-536,"dark layer",0.02
"1030",-536,"light layer",0.18
"1031",-535,"dark layer",0.02
"1032",-535,"light layer",0.28
"1033",-534,"dark layer",0.06
"1034",-534,"light layer",1.14
"1035",-533,"dark layer",0.2
"1036",-533,"light layer",2
"1037",-532,"dark layer",0.2
"1038",-532,"light layer",0.8
"1039",-531,"dark layer",0.1
"1040",-531,"light layer",0.5
"1041",-530,"dark layer",0.1
"1042",-530,"light layer",1
"1043",-529,"dark layer",0.1
"1044",-529,"light layer",0.9
"1045",-528,"dark layer",0.06
"1046",-528,"light layer",0.44
"1047",-527,"dark layer",0.1
"1048",-527,"light layer",0.3
"1049",-526,"dark layer",0.1
"1050",-526,"light layer",1.1
"1051",-525,"dark layer",NA
"1052",-525,"light layer",NA
"1053",-524,"dark layer",NA
"1054",-524,"light layer",NA
"1055",-523,"dark layer",NA
"1056",-523,"light layer",NA
"1057",-522,"dark layer",NA
"1058",-522,"light layer",NA
"1059",-521,"dark layer",NA
"1060",-521,"light layer",NA
"1061",-520,"dark layer",NA
"1062",-520,"light layer",NA
"1063",-519,"dark layer",NA
"1064",-519,"light layer",NA
"1065",-518,"dark layer",NA
"1066",-518,"light layer",NA
"1067",-517,"dark layer",NA
"1068",-517,"light layer",NA
"1069",-516,"dark layer",NA
"1070",-516,"light layer",NA
"1071",-515,"dark layer",NA
"1072",-515,"light layer",NA
"1073",-514,"dark layer",NA
"1074",-514,"light layer",NA
"1075",-513,"dark layer",0.1
"1076",-513,"light layer",0.7
"1077",-512,"dark layer",0.03
"1078",-512,"light layer",0.67
"1079",-511,"dark layer",0.04
"1080",-511,"light layer",0.16
"1081",-510,"dark layer",0.02
"1082",-510,"light layer",0.28
"1083",-509,"dark layer",0.1
"1084",-509,"light layer",0.3
"1085",-508,"dark layer",0.04
"1086",-508,"light layer",0.16
"1087",-507,"dark layer",0.04
"1088",-507,"light layer",1.96
"1089",-506,"dark layer",0.12
"1090",-506,"light layer",0.28
"1091",-505,"dark layer",0.1
"1092",-505,"light layer",0.3
"1093",-504,"dark layer",0.1
"1094",-504,"light layer",0.7
"1095",-503,"dark layer",0.04
"1096",-503,"light layer",0.16
"1097",-502,"dark layer",0.2
"1098",-502,"light layer",0.8
"1099",-501,"dark layer",0.2
"1100",-501,"light layer",0.4
"1101",-500,"dark layer",0.2
"1102",-500,"light layer",1.4
"1103",-499,"dark layer",0.1
"1104",-499,"light layer",1.5
"1105",-498,"dark layer",0.1
"1106",-498,"light layer",0.3
"1107",-497,"dark layer",0.1
"1108",-497,"light layer",2.3
"1109",-496,"dark layer",0.2
"1110",-496,"light layer",0.9
"1111",-495,"dark layer",0.1
"1112",-495,"light layer",0.5
"1113",-494,"dark layer",0.04
"1114",-494,"light layer",0.76
"1115",-493,"dark layer",0.06
"1116",-493,"light layer",0.44
"1117",-492,"dark layer",0.04
"1118",-492,"light layer",1.16
"1119",-491,"dark layer",0.1
"1120",-491,"light layer",0.8
"1121",-490,"dark layer",0.04
"1122",-490,"light layer",0.36
"1123",-489,"dark layer",0.1
"1124",-489,"light layer",0.9
"1125",-488,"dark layer",0.04
"1126",-488,"light layer",0.46
"1127",-487,"dark layer",0.06
"1128",-487,"light layer",0.34
"1129",-486,"dark layer",0.2
"1130",-486,"light layer",1.2
"1131",-485,"dark layer",0.2
"1132",-485,"light layer",0.2
"1133",-484,"dark layer",0.2
"1134",-484,"light layer",1
"1135",-483,"dark layer",0.04
"1136",-483,"light layer",1.86
"1137",-482,"dark layer",0.04
"1138",-482,"light layer",0.6
"1139",-481,"dark layer",0.14
"1140",-481,"light layer",0.46
"1141",-480,"dark layer",0.04
"1142",-480,"light layer",0.66
"1143",-479,"dark layer",0.04
"1144",-479,"light layer",0.76
"1145",-478,"dark layer",0.1
"1146",-478,"light layer",0.8
"1147",-477,"dark layer",0.04
"1148",-477,"light layer",0.36
"1149",-476,"dark layer",0.04
"1150",-476,"light layer",1.16
"1151",-475,"dark layer",0.04
"1152",-475,"light layer",0.66
"1153",-474,"dark layer",0.2
"1154",-474,"light layer",0.1
"1155",-473,"dark layer",0.04
"1156",-473,"light layer",1.26
"1157",-472,"dark layer",0.1
"1158",-472,"light layer",0.5
"1159",-471,"dark layer",0.1
"1160",-471,"light layer",1
"1161",-470,"dark layer",0.1
"1162",-470,"light layer",1.1
"1163",-469,"dark layer",0.1
"1164",-469,"light layer",0.8
"1165",-468,"dark layer",0.1
"1166",-468,"light layer",1
"1167",-467,"dark layer",0.1
"1168",-467,"light layer",0.8
"1169",-466,"dark layer",0.2
"1170",-466,"light layer",1.2
"1171",-465,"dark layer",0.14
"1172",-465,"light layer",0.56
"1173",-464,"dark layer",0.1
"1174",-464,"light layer",0.9
"1175",-463,"dark layer",0.06
"1176",-463,"light layer",0.34
"1177",-462,"dark layer",0.1
"1178",-462,"light layer",0.5
"1179",-461,"dark layer",0.3
"1180",-461,"light layer",4.5
"1181",-460,"dark layer",0.2
"1182",-460,"light layer",0.4
"1183",-459,"dark layer",0.2
"1184",-459,"light layer",0.6
"1185",-458,"dark layer",0.1
"1186",-458,"light layer",0.3
"1187",-457,"dark layer",0.2
"1188",-457,"light layer",0.3
"1189",-456,"dark layer",0.1
"1190",-456,"light layer",0.18
"1191",-455,"dark layer",0.1
"1192",-455,"light layer",0.2
"1193",-454,"dark layer",0.3
"1194",-454,"light layer",0.2
"1195",-453,"dark layer",0.02
"1196",-453,"light layer",0.06
"1197",-452,"dark layer",0.04
"1198",-452,"light layer",0.06
"1199",-451,"dark layer",0.1
"1200",-451,"light layer",0.3
"1201",-450,"dark layer",0.1
"1202",-450,"light layer",0.3
"1203",-449,"dark layer",0.2
"1204",-449,"light layer",0.5
"1205",-448,"dark layer",0.3
"1206",-448,"light layer",1.9
"1207",-447,"dark layer",0.2
"1208",-447,"light layer",0.4
"1209",-446,"dark layer",0.1
"1210",-446,"light layer",0.3
"1211",-445,"dark layer",0.1
"1212",-445,"light layer",0.5
"1213",-444,"dark layer",0.1
"1214",-444,"light layer",0.3
"1215",-443,"dark layer",0.1
"1216",-443,"light layer",0.5
"1217",-442,"dark layer",0.1
"1218",-442,"light layer",0.3
"1219",-441,"dark layer",0.1
"1220",-441,"light layer",0.8
"1221",-440,"dark layer",0.04
"1222",-440,"light layer",0.66
"1223",-439,"dark layer",0.1
"1224",-439,"light layer",0.9
"1225",-438,"dark layer",0.2
"1226",-438,"light layer",0.7
"1227",-437,"dark layer",0.2
"1228",-437,"light layer",0.4
"1229",-436,"dark layer",0.2
"1230",-436,"light layer",0.7
"1231",-435,"dark layer",0.2
"1232",-435,"light layer",0.7
"1233",-434,"dark layer",0.02
"1234",-434,"light layer",1.38
"1235",-433,"dark layer",0.1
"1236",-433,"light layer",1.5
"1237",-432,"dark layer",0.1
"1238",-432,"light layer",0.5
"1239",-431,"dark layer",0.04
"1240",-431,"light layer",0.1
"1241",-430,"dark layer",0.1
"1242",-430,"light layer",0.5
"1243",-429,"dark layer",0.2
"1244",-429,"light layer",0.3
"1245",-428,"dark layer",0.1
"1246",-428,"light layer",0.5
"1247",-427,"dark layer",0.2
"1248",-427,"light layer",0.2
"1249",-426,"dark layer",0.1
"1250",-426,"light layer",0.5
"1251",-425,"dark layer",0.2
"1252",-425,"light layer",0.3
"1253",-424,"dark layer",0.2
"1254",-424,"light layer",0.1
"1255",-423,"dark layer",0.03
"1256",-423,"light layer",0.67
"1257",-422,"dark layer",0.2
"1258",-422,"light layer",0.6
"1259",-421,"dark layer",0.03
"1260",-421,"light layer",0.37
"1261",-420,"dark layer",0.06
"1262",-420,"light layer",0.44
"1263",-419,"dark layer",0.04
"1264",-419,"light layer",0.36
"1265",-418,"dark layer",0.04
"1266",-418,"light layer",0.76
"1267",-417,"dark layer",0.1
"1268",-417,"light layer",0.3
"1269",-416,"dark layer",0.1
"1270",-416,"light layer",0.4
"1271",-415,"dark layer",0.1
"1272",-415,"light layer",1.1
"1273",-414,"dark layer",0.1
"1274",-414,"light layer",0.3
"1275",-413,"dark layer",0.2
"1276",-413,"light layer",0.6
"1277",-412,"dark layer",0.2
"1278",-412,"light layer",0.7
"1279",-411,"dark layer",0.2
"1280",-411,"light layer",0.8
"1281",-410,"dark layer",0.1
"1282",-410,"light layer",0.9
"1283",-409,"dark layer",0.2
"1284",-409,"light layer",0.3
"1285",-408,"dark layer",0.2
"1286",-408,"light layer",1.5
"1287",-407,"dark layer",0.1
"1288",-407,"light layer",0.9
"1289",-406,"dark layer",0.1
"1290",-406,"light layer",0.7
"1291",-405,"dark layer",0.2
"1292",-405,"light layer",0.3
"1293",-404,"dark layer",0.3
"1294",-404,"light layer",0.4
"1295",-403,"dark layer",0.2
"1296",-403,"light layer",0.8
"1297",-402,"dark layer",0.1
"1298",-402,"light layer",0.5
"1299",-401,"dark layer",0.1
"1300",-401,"light layer",0.3
"1301",-400,"dark layer",0.2
"1302",-400,"light layer",0.4
"1303",-399,"dark layer",0.1
"1304",-399,"light layer",0.7
"1305",-398,"dark layer",0.1
"1306",-398,"light layer",0.8
"1307",-397,"dark layer",0.1
"1308",-397,"light layer",0.5
"1309",-396,"dark layer",0.06
"1310",-396,"light layer",0.84
"1311",-395,"dark layer",0.1
"1312",-395,"light layer",0.5
"1313",-394,"dark layer",0.4
"1314",-394,"light layer",0.3
"1315",-393,"dark layer",0.2
"1316",-393,"light layer",0.2
"1317",-392,"dark layer",0.6
"1318",-392,"light layer",0.2
"1319",-391,"dark layer",0.04
"1320",-391,"light layer",0.46
"1321",-390,"dark layer",0.1
"1322",-390,"light layer",0.6
"1323",-389,"dark layer",0.04
"1324",-389,"light layer",0.86
"1325",-388,"dark layer",0.04
"1326",-388,"light layer",0.96
"1327",-387,"dark layer",0.2
"1328",-387,"light layer",0.9
"1329",-386,"dark layer",0.4
"1330",-386,"light layer",0.6
"1331",-385,"dark layer",0.2
"1332",-385,"light layer",1
"1333",-384,"dark layer",0.2
"1334",-384,"light layer",1
"1335",-383,"dark layer",0.4
"1336",-383,"light layer",1.2
"1337",-382,"dark layer",0.1
"1338",-382,"light layer",0.7
"1339",-381,"dark layer",NA
"1340",-381,"light layer",NA
"1341",-380,"dark layer",NA
"1342",-380,"light layer",NA
"1343",-379,"dark layer",NA
"1344",-379,"light layer",NA
"1345",-378,"dark layer",NA
"1346",-378,"light layer",NA
"1347",-377,"dark layer",NA
"1348",-377,"light layer",NA
"1349",-376,"dark layer",NA
"1350",-376,"light layer",NA
"1351",-375,"dark layer",NA
"1352",-375,"light layer",NA
"1353",-374,"dark layer",NA
"1354",-374,"light layer",NA
"1355",-373,"dark layer",NA
"1356",-373,"light layer",NA
"1357",-372,"dark layer",NA
"1358",-372,"light layer",NA
"1359",-371,"dark layer",NA
"1360",-371,"light layer",NA
"1361",-370,"dark layer",NA
"1362",-370,"light layer",NA
"1363",-369,"dark layer",NA
"1364",-369,"light layer",NA
"1365",-368,"dark layer",NA
"1366",-368,"light layer",NA
"1367",-367,"dark layer",NA
"1368",-367,"light layer",NA
"1369",-366,"dark layer",NA
"1370",-366,"light layer",NA
"1371",-365,"dark layer",0.06
"1372",-365,"light layer",1.24
"1373",-364,"dark layer",0.04
"1374",-364,"light layer",0.56
"1375",-363,"dark layer",0.1
"1376",-363,"light layer",0.8
"1377",-362,"dark layer",0.04
"1378",-362,"light layer",0.36
"1379",-361,"dark layer",0.2
"1380",-361,"light layer",0.7
"1381",-360,"dark layer",0.2
"1382",-360,"light layer",0.6
"1383",-359,"dark layer",0.1
"1384",-359,"light layer",0.9
"1385",-358,"dark layer",0.2
"1386",-358,"light layer",1.1
"1387",-357,"dark layer",0.2
"1388",-357,"light layer",1
"1389",-356,"dark layer",0.2
"1390",-356,"light layer",0.6
"1391",-355,"dark layer",0.2
"1392",-355,"light layer",0.4
"1393",-354,"dark layer",0.2
"1394",-354,"light layer",0.2
"1395",-353,"dark layer",0.2
"1396",-353,"light layer",0.6
"1397",-352,"dark layer",0.3
"1398",-352,"light layer",0.7
"1399",-351,"dark layer",0.1
"1400",-351,"light layer",1.3
"1401",-350,"dark layer",0.4
"1402",-350,"light layer",0.1
"1403",-349,"dark layer",0.04
"1404",-349,"light layer",0.56
"1405",-348,"dark layer",0.06
"1406",-348,"light layer",0.34
"1407",-347,"dark layer",0.04
"1408",-347,"light layer",0.16
"1409",-346,"dark layer",0.1
"1410",-346,"light layer",0.7
"1411",-345,"dark layer",0.2
"1412",-345,"light layer",0.8
"1413",-344,"dark layer",0.04
"1414",-344,"light layer",0.56
"1415",-343,"dark layer",0.1
"1416",-343,"light layer",1.1
"1417",-342,"dark layer",NA
"1418",-342,"light layer",NA
"1419",-341,"dark layer",NA
"1420",-341,"light layer",NA
"1421",-340,"dark layer",NA
"1422",-340,"light layer",NA
"1423",-339,"dark layer",NA
"1424",-339,"light layer",NA
"1425",-338,"dark layer",NA
"1426",-338,"light layer",NA
"1427",-337,"dark layer",NA
"1428",-337,"light layer",NA
"1429",-336,"dark layer",NA
"1430",-336,"light layer",NA
"1431",-335,"dark layer",NA
"1432",-335,"light layer",NA
"1433",-334,"dark layer",NA
"1434",-334,"light layer",NA
"1435",-333,"dark layer",NA
"1436",-333,"light layer",NA
"1437",-332,"dark layer",NA
"1438",-332,"light layer",NA
"1439",-331,"dark layer",NA
"1440",-331,"light layer",NA
"1441",-330,"dark layer",NA
"1442",-330,"light layer",NA
"1443",-329,"dark layer",NA
"1444",-329,"light layer",NA
"1445",-328,"dark layer",NA
"1446",-328,"light layer",NA
"1447",-327,"dark layer",NA
"1448",-327,"light layer",NA
"1449",-326,"dark layer",NA
"1450",-326,"light layer",NA
"1451",-325,"dark layer",NA
"1452",-325,"light layer",NA
"1453",-324,"dark layer",NA
"1454",-324,"light layer",NA
"1455",-323,"dark layer",NA
"1456",-323,"light layer",NA
"1457",-322,"dark layer",NA
"1458",-322,"light layer",NA
"1459",-321,"dark layer",NA
"1460",-321,"light layer",NA
"1461",-320,"dark layer",NA
"1462",-320,"light layer",NA
"1463",-319,"dark layer",NA
"1464",-319,"light layer",NA
"1465",-318,"dark layer",NA
"1466",-318,"light layer",NA
"1467",-317,"dark layer",NA
"1468",-317,"light layer",NA
"1469",-316,"dark layer",NA
"1470",-316,"light layer",NA
"1471",-315,"dark layer",NA
"1472",-315,"light layer",NA
"1473",-314,"dark layer",NA
"1474",-314,"light layer",NA
"1475",-313,"dark layer",NA
"1476",-313,"light layer",NA
"1477",-312,"dark layer",NA
"1478",-312,"light layer",NA
"1479",-311,"dark layer",NA
"1480",-311,"light layer",NA
"1481",-310,"dark layer",NA
"1482",-310,"light layer",NA
"1483",-309,"dark layer",NA
"1484",-309,"light layer",NA
"1485",-308,"dark layer",NA
"1486",-308,"light layer",NA
"1487",-307,"dark layer",NA
"1488",-307,"light layer",NA
"1489",-306,"dark layer",NA
"1490",-306,"light layer",NA
"1491",-305,"dark layer",NA
"1492",-305,"light layer",NA
"1493",-304,"dark layer",NA
"1494",-304,"light layer",NA
"1495",-303,"dark layer",NA
"1496",-303,"light layer",NA
"1497",-302,"dark layer",NA
"1498",-302,"light layer",NA
"1499",-301,"dark layer",NA
"1500",-301,"light layer",NA
"1501",-300,"dark layer",NA
"1502",-300,"light layer",NA
"1503",-299,"dark layer",NA
"1504",-299,"light layer",NA
"1505",-298,"dark layer",0.2
"1506",-298,"light layer",0.4
"1507",-297,"dark layer",0.2
"1508",-297,"light layer",1.2
"1509",-296,"dark layer",0.4
"1510",-296,"light layer",0.9
"1511",-295,"dark layer",0.2
"1512",-295,"light layer",0.8
"1513",-294,"dark layer",0.4
"1514",-294,"light layer",0.1
"1515",-293,"dark layer",0.2
"1516",-293,"light layer",0.8
"1517",-292,"dark layer",0.1
"1518",-292,"light layer",0.8
"1519",-291,"dark layer",0.02
"1520",-291,"light layer",0.78
"1521",-290,"dark layer",0.04
"1522",-290,"light layer",0.56
"1523",-289,"dark layer",0.1
"1524",-289,"light layer",1.2
"1525",-288,"dark layer",0.24
"1526",-288,"light layer",0.36
"1527",-287,"dark layer",0.2
"1528",-287,"light layer",0.7
"1529",-286,"dark layer",0.1
"1530",-286,"light layer",0.4
"1531",-285,"dark layer",0.14
"1532",-285,"light layer",0.26
"1533",-284,"dark layer",0.06
"1534",-284,"light layer",0.74
"1535",-283,"dark layer",0.1
"1536",-283,"light layer",0.4
"1537",-282,"dark layer",0.2
"1538",-282,"light layer",0.1
"1539",-281,"dark layer",0.06
"1540",-281,"light layer",0.94
"1541",-280,"dark layer",0.04
"1542",-280,"light layer",0.56
"1543",-279,"dark layer",0.2
"1544",-279,"light layer",0.8
"1545",-278,"dark layer",NA
"1546",-278,"light layer",NA
"1547",-277,"dark layer",NA
"1548",-277,"light layer",NA
"1549",-276,"dark layer",NA
"1550",-276,"light layer",NA
"1551",-275,"dark layer",NA
"1552",-275,"light layer",NA
"1553",-274,"dark layer",NA
"1554",-274,"light layer",NA
"1555",-273,"dark layer",NA
"1556",-273,"light layer",NA
"1557",-272,"dark layer",NA
"1558",-272,"light layer",NA
"1559",-271,"dark layer",NA
"1560",-271,"light layer",NA
"1561",-270,"dark layer",NA
"1562",-270,"light layer",NA
"1563",-269,"dark layer",NA
"1564",-269,"light layer",NA
"1565",-268,"dark layer",NA
"1566",-268,"light layer",NA
"1567",-267,"dark layer",NA
"1568",-267,"light layer",NA
"1569",-266,"dark layer",NA
"1570",-266,"light layer",NA
"1571",-265,"dark layer",NA
"1572",-265,"light layer",NA
"1573",-264,"dark layer",NA
"1574",-264,"light layer",NA
"1575",-263,"dark layer",NA
"1576",-263,"light layer",NA
"1577",-262,"dark layer",NA
"1578",-262,"light layer",NA
"1579",-261,"dark layer",NA
"1580",-261,"light layer",NA
"1581",-260,"dark layer",NA
"1582",-260,"light layer",NA
"1583",-259,"dark layer",0.2
"1584",-259,"light layer",0.6
"1585",-258,"dark layer",0.14
"1586",-258,"light layer",0.66
"1587",-257,"dark layer",0.2
"1588",-257,"light layer",2.6
"1589",-256,"dark layer",0.2
"1590",-256,"light layer",0.3
"1591",-255,"dark layer",0.04
"1592",-255,"light layer",0.56
"1593",-254,"dark layer",0.1
"1594",-254,"light layer",0.7
"1595",-253,"dark layer",0.2
"1596",-253,"light layer",0.3
"1597",-252,"dark layer",NA
"1598",-252,"light layer",NA
"1599",-251,"dark layer",NA
"1600",-251,"light layer",NA
"1601",-250,"dark layer",NA
"1602",-250,"light layer",NA
"1603",-249,"dark layer",NA
"1604",-249,"light layer",NA
"1605",-248,"dark layer",NA
"1606",-248,"light layer",NA
"1607",-247,"dark layer",NA
"1608",-247,"light layer",NA
"1609",-246,"dark layer",NA
"1610",-246,"light layer",NA
"1611",-245,"dark layer",NA
"1612",-245,"light layer",NA
"1613",-244,"dark layer",NA
"1614",-244,"light layer",NA
"1615",-243,"dark layer",NA
"1616",-243,"light layer",NA
"1617",-242,"dark layer",NA
"1618",-242,"light layer",NA
"1619",-241,"dark layer",NA
"1620",-241,"light layer",NA
"1621",-240,"dark layer",0.1
"1622",-240,"light layer",1.2
"1623",-239,"dark layer",0.2
"1624",-239,"light layer",1.2
"1625",-238,"dark layer",0.1
"1626",-238,"light layer",0.8
"1627",-237,"dark layer",0.04
"1628",-237,"light layer",0.66
"1629",-236,"dark layer",0.1
"1630",-236,"light layer",1.1
"1631",-235,"dark layer",0.1
"1632",-235,"light layer",1.2
"1633",-234,"dark layer",0.1
"1634",-234,"light layer",0.7
"1635",-233,"dark layer",0.1
"1636",-233,"light layer",0.9
"1637",-232,"dark layer",0.1
"1638",-232,"light layer",0.3
"1639",-231,"dark layer",0.2
"1640",-231,"light layer",0.3
"1641",-230,"dark layer",0.1
"1642",-230,"light layer",0.2
"1643",-229,"dark layer",0.04
"1644",-229,"light layer",2.56
"1645",-228,"dark layer",0.04
"1646",-228,"light layer",0.16
"1647",-227,"dark layer",0.2
"1648",-227,"light layer",1
"1649",-226,"dark layer",0.1
"1650",-226,"light layer",0.6
"1651",-225,"dark layer",0.1
"1652",-225,"light layer",1
"1653",-224,"dark layer",0.2
"1654",-224,"light layer",0.8
"1655",-223,"dark layer",0.1
"1656",-223,"light layer",0.3
"1657",-222,"dark layer",0.1
"1658",-222,"light layer",0.5
"1659",-221,"dark layer",0.1
"1660",-221,"light layer",0.7
"1661",-220,"dark layer",0.04
"1662",-220,"light layer",0.66
"1663",-219,"dark layer",0.2
"1664",-219,"light layer",0.6
"1665",-218,"dark layer",0.1
"1666",-218,"light layer",0.5
"1667",-217,"dark layer",0.04
"1668",-217,"light layer",0.96
"1669",-216,"dark layer",0.1
"1670",-216,"light layer",1.1
"1671",-215,"dark layer",0.2
"1672",-215,"light layer",0.5
"1673",-214,"dark layer",0.2
"1674",-214,"light layer",0.3
"1675",-213,"dark layer",0.04
"1676",-213,"light layer",0.36
"1677",-212,"dark layer",0.2
"1678",-212,"light layer",0.4
"1679",-211,"dark layer",0.1
"1680",-211,"light layer",0.5
"1681",-210,"dark layer",0.1
"1682",-210,"light layer",0.4
"1683",-209,"dark layer",0.04
"1684",-209,"light layer",0.76
"1685",-208,"dark layer",0.04
"1686",-208,"light layer",0.56
"1687",-207,"dark layer",0.1
"1688",-207,"light layer",0.9
"1689",-206,"dark layer",0.1
"1690",-206,"light layer",0.9
"1691",-205,"dark layer",0.1
"1692",-205,"light layer",0.6
"1693",-204,"dark layer",0.1
"1694",-204,"light layer",0.6
"1695",-203,"dark layer",0.1
"1696",-203,"light layer",0.3
"1697",-202,"dark layer",0.1
"1698",-202,"light layer",0.7
"1699",-201,"dark layer",0.2
"1700",-201,"light layer",0.8
"1701",-200,"dark layer",0.2
"1702",-200,"light layer",0.5
"1703",-199,"dark layer",0.1
"1704",-199,"light layer",0.5
"1705",-198,"dark layer",0.04
"1706",-198,"light layer",0.66
"1707",-197,"dark layer",0.1
"1708",-197,"light layer",0.3
"1709",-196,"dark layer",0.1
"1710",-196,"light layer",0.3
"1711",-195,"dark layer",0.04
"1712",-195,"light layer",2.16
"1713",-194,"dark layer",0.1
"1714",-194,"light layer",0.3
"1715",-193,"dark layer",0.1
"1716",-193,"light layer",0.5
"1717",-192,"dark layer",0.2
"1718",-192,"light layer",0.4
"1719",-191,"dark layer",0.2
"1720",-191,"light layer",0.5
"1721",-190,"dark layer",NA
"1722",-190,"light layer",NA
"1723",-189,"dark layer",NA
"1724",-189,"light layer",NA
"1725",-188,"dark layer",NA
"1726",-188,"light layer",NA
"1727",-187,"dark layer",NA
"1728",-187,"light layer",NA
"1729",-186,"dark layer",NA
"1730",-186,"light layer",NA
"1731",-185,"dark layer",NA
"1732",-185,"light layer",NA
"1733",-184,"dark layer",NA
"1734",-184,"light layer",NA
"1735",-183,"dark layer",NA
"1736",-183,"light layer",NA
"1737",-182,"dark layer",NA
"1738",-182,"light layer",NA
"1739",-181,"dark layer",NA
"1740",-181,"light layer",NA
"1741",-180,"dark layer",NA
"1742",-180,"light layer",NA
"1743",-179,"dark layer",NA
"1744",-179,"light layer",NA
"1745",-178,"dark layer",NA
"1746",-178,"light layer",NA
"1747",-177,"dark layer",NA
"1748",-177,"light layer",NA
"1749",-176,"dark layer",NA
"1750",-176,"light layer",NA
"1751",-175,"dark layer",NA
"1752",-175,"light layer",NA
"1753",-174,"dark layer",NA
"1754",-174,"light layer",NA
"1755",-173,"dark layer",NA
"1756",-173,"light layer",NA
"1757",-172,"dark layer",NA
"1758",-172,"light layer",NA
"1759",-171,"dark layer",NA
"1760",-171,"light layer",NA
"1761",-170,"dark layer",NA
"1762",-170,"light layer",NA
"1763",-169,"dark layer",NA
"1764",-169,"light layer",NA
"1765",-168,"dark layer",NA
"1766",-168,"light layer",NA
"1767",-167,"dark layer",NA
