"","Year","Dataset","Season","rainfall"
"141",1931,"CRU","MAM",0.52
"142",1932,"CRU","MAM",0.6
"143",1933,"CRU","MAM",0
"144",1934,"CRU","MAM",0.43
"145",1935,"CRU","MAM",0.61
"146",1936,"CRU","MAM",0.73
"147",1937,"CRU","MAM",0.83
"148",1938,"CRU","MAM",0.35
"149",1939,"CRU","MAM",0.54
"150",1940,"CRU","MAM",0.66
"151",1941,"CRU","MAM",0.5
"152",1942,"CRU","MAM",0.91
"153",1943,"CRU","MAM",0.2
"154",1944,"CRU","MAM",0.47
"155",1945,"CRU","MAM",0.36
"156",1946,"CRU","MAM",0.36
"157",1947,"CRU","MAM",0.93
"158",1948,"CRU","MAM",0.29
"159",1949,"CRU","MAM",0.11
"160",1950,"CRU","MAM",0.62
"161",1951,"CRU","MAM",0.73
"162",1952,"CRU","MAM",0.54
"163",1953,"CRU","MAM",0.45
"164",1954,"CRU","MAM",0.36
"165",1955,"CRU","MAM",0.41
"166",1956,"CRU","MAM",0.59
"167",1957,"CRU","MAM",0.87
"168",1958,"CRU","MAM",0.3
"169",1959,"CRU","MAM",0.23
"170",1960,"CRU","MAM",0.67
"171",1961,"CRU","MAM",0.36
"172",1962,"CRU","MAM",0.72
"173",1963,"CRU","MAM",0.95
"174",1964,"CRU","MAM",0.45
"175",1965,"CRU","MAM",0.23
"176",1966,"CRU","MAM",0.57
"177",1967,"CRU","MAM",0.63
"178",1968,"CRU","MAM",0.8
"179",1969,"CRU","MAM",0.49
"180",1970,"CRU","MAM",0.41
"181",1971,"CRU","MAM",0.28
"182",1972,"CRU","MAM",0.42
"183",1973,"CRU","MAM",0.25
"184",1974,"CRU","MAM",0.85
"185",1975,"CRU","MAM",0.4
"186",1976,"CRU","MAM",0.64
"187",1977,"CRU","MAM",0.5
"188",1978,"CRU","MAM",0.63
"189",1979,"CRU","MAM",0.65
"190",1980,"CRU","MAM",0.5
"191",1981,"CRU","MAM",0.78
"192",1982,"CRU","MAM",0.6
"193",1983,"CRU","MAM",0.18
"194",1984,"CRU","MAM",0.08
"195",1985,"CRU","MAM",0.62
"196",1986,"CRU","MAM",0.51
"197",1987,"CRU","MAM",0.48
"198",1988,"CRU","MAM",0.35
"199",1989,"CRU","MAM",0.72
"200",1990,"CRU","MAM",0.4
"201",1991,"CRU","MAM",0.53
"202",1992,"CRU","MAM",0.23
"203",1993,"CRU","MAM",0.53
"204",1994,"CRU","MAM",0.17
"205",1995,"CRU","MAM",0.38
"206",1996,"CRU","MAM",0.53
"207",1997,"CRU","MAM",0.46
"208",1998,"CRU","MAM",0.28
"209",1999,"CRU","MAM",0.43
"210",2000,"CRU","MAM",0.2
"211",2001,"CRU","MAM",0.2
"212",2002,"CRU","MAM",0.41
"213",2003,"CRU","MAM",0.44
"214",2004,"CRU","MAM",0.45
"215",2005,"CRU","MAM",0.43
"216",2006,"CRU","MAM",0.66
"217",2007,"CRU","MAM",0.28
"218",2008,"CRU","MAM",0.36
"219",2009,"CRU","MAM",0.18
"220",2010,"CRU","MAM",0.43
"221",1901,"GPCC","OND",0.06
"222",1902,"GPCC","OND",0.45
"223",1903,"GPCC","OND",0.14
"224",1904,"GPCC","OND",0.22
"225",1905,"GPCC","OND",0.43
"226",1906,"GPCC","OND",0.09
"227",1907,"GPCC","OND",0.19
"228",1908,"GPCC","OND",0.24
"229",1909,"GPCC","OND",0.12
"230",1910,"GPCC","OND",0.25
"231",1911,"GPCC","OND",0.25
"232",1912,"GPCC","OND",0.18
"233",1913,"GPCC","OND",0.14
"234",1914,"GPCC","OND",0.28
"235",1915,"GPCC","OND",0.24
"236",1916,"GPCC","OND",0.31
"237",1917,"GPCC","OND",0.09
"238",1918,"GPCC","OND",0.06
"239",1919,"GPCC","OND",0.21
"240",1920,"GPCC","OND",0.37
"241",1921,"GPCC","OND",0.21
"242",1922,"GPCC","OND",0.27
"243",1923,"GPCC","OND",0.41
"244",1924,"GPCC","OND",0.17
"245",1925,"GPCC","OND",0.54
"246",1926,"GPCC","OND",0.25
"247",1927,"GPCC","OND",0.13
"248",1928,"GPCC","OND",0.22
"249",1929,"GPCC","OND",0.34
"250",1930,"GPCC","OND",0.18
"251",1931,"GPCC","OND",0.32
"252",1932,"GPCC","OND",0.17
"253",1933,"GPCC","OND",0.23
"254",1934,"GPCC","OND",0.29
"255",1935,"GPCC","OND",0.24
"256",1936,"GPCC","OND",0.26
"257",1937,"GPCC","OND",0.31
"258",1938,"GPCC","OND",0.22
"259",1939,"GPCC","OND",0.25
"260",1940,"GPCC","OND",0.13
"261",1941,"GPCC","OND",0.53
"262",1942,"GPCC","OND",0.15
"263",1943,"GPCC","OND",0.01
"264",1944,"GPCC","OND",0.38
"265",1945,"GPCC","OND",0.2
"266",1946,"GPCC","OND",0.32
"267",1947,"GPCC","OND",0.12
"268",1948,"GPCC","OND",0.18
"269",1949,"GPCC","OND",0.14
"270",1950,"GPCC","OND",0.12
"271",1951,"GPCC","OND",0.7
"272",1952,"GPCC","OND",0.13
"273",1953,"GPCC","OND",0.27
"274",1954,"GPCC","OND",0.16
"275",1955,"GPCC","OND",0.18
"276",1956,"GPCC","OND",0.24
"277",1957,"GPCC","OND",0.32
"278",1958,"GPCC","OND",0.19
"279",1959,"GPCC","OND",0.3
"280",1960,"GPCC","OND",0.11
"281",1961,"GPCC","OND",1
"282",1962,"GPCC","OND",0.3
"283",1963,"GPCC","OND",0.55
"284",1964,"GPCC","OND",0.23
"285",1965,"GPCC","OND",0.46
"286",1966,"GPCC","OND",0.21
"287",1967,"GPCC","OND",0.65
"288",1968,"GPCC","OND",0.44
"289",1969,"GPCC","OND",0.23
"290",1970,"GPCC","OND",0.22
"291",1971,"GPCC","OND",0.24
"292",1972,"GPCC","OND",0.38
"293",1973,"GPCC","OND",0.14
"294",1974,"GPCC","OND",0.07
"295",1975,"GPCC","OND",0.12
"296",1976,"GPCC","OND",0.18
"297",1977,"GPCC","OND",0.51
"298",1978,"GPCC","OND",0.49
"299",1979,"GPCC","OND",0.25
"300",1980,"GPCC","OND",0.25
"301",1981,"GPCC","OND",0.17
"302",1982,"GPCC","OND",0.64
"303",1983,"GPCC","OND",0.24
"304",1984,"GPCC","OND",0.32
"305",1985,"GPCC","OND",0.23
"306",1986,"GPCC","OND",0.37
"307",1987,"GPCC","OND",0.13
"308",1988,"GPCC","OND",0.26
"309",1989,"GPCC","OND",0.47
"310",1990,"GPCC","OND",0.21
"311",1991,"GPCC","OND",0.25
"312",1992,"GPCC","OND",0.33
"313",1993,"GPCC","OND",0.04
"314",1994,"GPCC","OND",0.33
"315",1995,"GPCC","OND",0.22
"316",1996,"GPCC","OND",0.06
"317",1997,"GPCC","OND",0.97
"318",1998,"GPCC","OND",0.07
"319",1999,"GPCC","OND",0.32
"320",2000,"GPCC","OND",0.48
"321",2001,"GPCC","OND",0.26
"322",2002,"GPCC","OND",0.45
"323",2003,"GPCC","OND",0.17
"324",2004,"GPCC","OND",0.5
"325",2005,"GPCC","OND",0
"326",2006,"GPCC","OND",0.71
"327",2007,"GPCC","OND",0.28
"328",2008,"GPCC","OND",0.21
"329",2009,"GPCC","OND",0.29
"330",2010,"GPCC","OND",0.16
"331",1901,"CRU","OND",0.17
"332",1902,"CRU","OND",0.42
"333",1903,"CRU","OND",0.26
"334",1904,"CRU","OND",0.26
"335",1905,"CRU","OND",0.43
"336",1906,"CRU","OND",0.2
"337",1907,"CRU","OND",0.33
"338",1908,"CRU","OND",0.26
"339",1909,"CRU","OND",0.15
"340",1910,"CRU","OND",0.21
"341",1911,"CRU","OND",0.27
"342",1912,"CRU","OND",0.18
"343",1913,"CRU","OND",0.15
"344",1914,"CRU","OND",0.29
"345",1915,"CRU","OND",0.26
"346",1916,"CRU","OND",0.27
"347",1917,"CRU","OND",0.08
"348",1918,"CRU","OND",0.08
"349",1919,"CRU","OND",0.22
"350",1920,"CRU","OND",0.34
"351",1921,"CRU","OND",0.15
"352",1922,"CRU","OND",0.25
"353",1923,"CRU","OND",0.35
"354",1924,"CRU","OND",0.13
"355",1925,"CRU","OND",0.52
"356",1926,"CRU","OND",0.18
"357",1927,"CRU","OND",0.12
"358",1928,"CRU","OND",0.15
"359",1929,"CRU","OND",0.33
"360",1930,"CRU","OND",0.12
"361",1931,"CRU","OND",0.27
"362",1932,"CRU","OND",0.14
"363",1933,"CRU","OND",0.21
"364",1934,"CRU","OND",0.27
"365",1935,"CRU","OND",0.2
"366",1936,"CRU","OND",0.24
"367",1937,"CRU","OND",0.29
"368",1938,"CRU","OND",0.19
"369",1939,"CRU","OND",0.23
"370",1940,"CRU","OND",0.13
"371",1941,"CRU","OND",0.56
"372",1942,"CRU","OND",0.1
"373",1943,"CRU","OND",0
"374",1944,"CRU","OND",0.36
"375",1945,"CRU","OND",0.17
"376",1946,"CRU","OND",0.34
"377",1947,"CRU","OND",0.09
"378",1948,"CRU","OND",0.16
"379",1949,"CRU","OND",0.11
"380",1950,"CRU","OND",0.08
"381",1951,"CRU","OND",0.65
"382",1952,"CRU","OND",0.09
"383",1953,"CRU","OND",0.26
"384",1954,"CRU","OND",0.16
"385",1955,"CRU","OND",0.15
"386",1956,"CRU","OND",0.24
"387",1957,"CRU","OND",0.34
"388",1958,"CRU","OND",0.18
"389",1959,"CRU","OND",0.31
"390",1960,"CRU","OND",0.1
"391",1961,"CRU","OND",1
"392",1962,"CRU","OND",0.32
"393",1963,"CRU","OND",0.54
"394",1964,"CRU","OND",0.25
"395",1965,"CRU","OND",0.46
"396",1966,"CRU","OND",0.22
"397",1967,"CRU","OND",0.69
"398",1968,"CRU","OND",0.48
"399",1969,"CRU","OND",0.22
"400",1970,"CRU","OND",0.2
"401",1971,"CRU","OND",0.22
"402",1972,"CRU","OND",0.43
"403",1973,"CRU","OND",0.12
"404",1974,"CRU","OND",0.07
"405",1975,"CRU","OND",0.11
"406",1976,"CRU","OND",0.16
"407",1977,"CRU","OND",0.53
"408",1978,"CRU","OND",0.5
"409",1979,"CRU","OND",0.27
"410",1980,"CRU","OND",0.21
"411",1981,"CRU","OND",0.14
"412",1982,"CRU","OND",0.75
"413",1983,"CRU","OND",0.27
"414",1984,"CRU","OND",0.33
"415",1985,"CRU","OND",0.2
"416",1986,"CRU","OND",0.31
"417",1987,"CRU","OND",0.13
"418",1988,"CRU","OND",0.24
"419",1989,"CRU","OND",0.48
"420",1990,"CRU","OND",0.22
"421",1991,"CRU","OND",0.26
"422",1992,"CRU","OND",0.37
"423",1993,"CRU","OND",0.04
"424",1994,"CRU","OND",0.28
"425",1995,"CRU","OND",0.2
"426",1996,"CRU","OND",0.01
"427",1997,"CRU","OND",0.8
"428",1998,"CRU","OND",0.12
"429",1999,"CRU","OND",0.28
"430",2000,"CRU","OND",0.42
"431",2001,"CRU","OND",0.33
"432",2002,"CRU","OND",0.48
"433",2003,"CRU","OND",0.21
"434",2004,"CRU","OND",0.36
"435",2005,"CRU","OND",0.14
"436",2006,"CRU","OND",0.49
"437",2007,"CRU","OND",0.26
"438",2008,"CRU","OND",0.31
"439",2009,"CRU","OND",0.35
"440",2010,"CRU","OND",0.27
